raw,filtered,diff
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,9.977961,3.022039
3.933884,6.537190,-2.603306
2.677686,3.096419,-0.418733
2.677686,2.672176,0.005510
2.661157,2.666667,-0.005510
2.661157,2.666667,-0.005510
2.677686,2.672176,0.005510
2.677686,2.672176,0.005510
2.661157,2.661157,-0.000000
2.644629,2.661157,-0.016528
2.677686,3.079890,-0.402204
3.917356,4.446281,-0.528925
6.743802,5.388430,1.355372
5.504133,6.022039,-0.517906
5.818182,6.027548,-0.209366
6.760330,6.550964,0.209366
7.074380,6.969697,0.104683
7.074380,7.074380,-0.000000
7.074380,7.079890,-0.005510
7.090909,7.184573,-0.093664
7.388430,6.236915,1.151515
4.231405,5.289256,-1.057851
4.247934,3.812672,0.435262
2.958678,3.399449,-0.440771
2.991736,2.980717,0.011019
2.991736,2.986226,0.005510
2.975207,2.975207,0.000000
2.958678,2.969697,-0.011019
2.975207,2.975207,0.000000
2.991736,2.986226,0.005510
2.991736,3.311295,-0.319559
3.950414,4.044078,-0.093664
5.190083,4.457301,0.732782
4.231405,4.556474,-0.325069
4.247934,4.550964,-0.303030
5.173554,4.969697,0.203857
5.487603,5.278237,0.209366
5.173554,4.539945,0.633609
2.958678,3.702480,-0.743802
2.975207,2.975207,0.000000
2.991736,2.986226,0.005510
2.991736,2.991736,0.000000
2.991736,2.677686,0.314050
2.049587,2.363637,-0.314050
2.049587,2.049587,0.000000
2.049587,2.044077,0.005510
2.033058,2.462810,-0.429752
3.305786,2.881543,0.424243
3.305786,3.305786,0.000000
3.305786,3.614326,-0.308540
4.231405,6.845730,-2.614325
13.000000,10.077135,2.922865
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
13.000000,13.000000,0.000000
