id,real_cm,sensor_raw,diff,ts
1,20,0,20,2026-01-08 18:02:49
2,0,0,0,2026-01-08 18:03:09
3,9,0,9,2026-01-08 18:03:11
4,9,0,9,2026-01-08 18:03:11
5,9,0,9,2026-01-08 18:03:12
6,9,0,9,2026-01-08 18:03:12
7,9,0,9,2026-01-08 18:03:12
8,9,0,9,2026-01-08 18:03:13
9,9,0,9,2026-01-08 18:03:13
10,9,0,9,2026-01-08 18:03:13
11,9,0,9,2026-01-08 18:03:14
12,9,0,9,2026-01-08 18:03:14
13,9,0,9,2026-01-08 18:03:14
14,9,0,9,2026-01-08 18:03:14
15,9,0,9,2026-01-08 18:03:15
16,9,0,9,2026-01-08 18:03:15
17,9,0,9,2026-01-08 18:03:16
18,9,0,9,2026-01-08 18:03:16
19,9,0,9,2026-01-08 18:03:17
20,9,0,9,2026-01-08 18:03:17
